EmpID,DailyRate,Department,EmployeeCount,EmployeeNumber,HourlyRate,JobInvolvement,JobLevel,JobRole,MonthlyIncome,MonthlyRate,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM551,650,Research & Development,1,758,37,3,1,Laboratory Technician,2500,4344,Y,No,14,3,80,1,5,2,4,3,0,2
RM566,310,Research & Development,1,784,79,4,1,Research Scientist,3505,19630,Y,No,18,3,80,0,2,3,2,2,0,2
RM586,1243,Research & Development,1,811,63,4,1,Laboratory Technician,1601,3445,Y,Yes,21,4,80,2,1,2,0,0,0,0
RM911,373,Research & Development,1,1270,47,3,1,Research Scientist,1223,16901,Y,No,22,4,80,1,1,2,1,0,0,1
RM1083,507,Research & Development,1,1533,97,3,2,Laboratory Technician,2272,24812,Y,No,14,3,80,0,5,2,4,3,1,2
RM1128,977,Research & Development,1,1592,45,4,1,Research Scientist,2073,12826,Y,No,16,3,80,1,4,2,2,2,2,2
RM1202,1320,Research & Development,1,1684,93,2,1,Laboratory Technician,3989,20586,Y,Yes,11,3,80,0,5,2,5,4,1,2
RM1214,427,Sales,1,1702,99,3,1,Sales Representative,2275,25103,Y,Yes,21,4,80,1,3,2,3,2,0,2
RM1239,160,Research & Development,1,1735,51,3,1,Laboratory Technician,3295,12862,Y,No,13,3,80,0,3,3,3,2,1,2
RM1409,571,Research & Development,1,1982,78,3,1,Laboratory Technician,2647,13672,Y,No,13,3,80,0,5,6,5,2,1,4
RM1439,638,Sales,1,2023,33,3,1,Sales Representative,1790,26956,Y,No,19,3,80,1,1,3,1,0,1,0
RM021,673,Research & Development,1,26,96,4,2,Manufacturing Director,4011,8232,Y,No,18,3,80,1,5,5,4,2,1,3
RM035,813,Research & Development,1,45,61,3,1,Research Scientist,2293,3020,Y,Yes,16,3,80,1,6,2,2,0,2,0
RM097,1353,Sales,1,128,33,3,2,Sales Executive,4999,17519,Y,No,21,4,80,1,4,2,3,2,0,2
RM114,1127,Research & Development,1,150,52,3,1,Laboratory Technician,2774,13257,Y,No,12,3,80,1,6,2,5,3,1,2
RM381,1371,Sales,1,507,77,3,2,Sales Executive,4260,5915,Y,Yes,12,3,80,1,5,2,5,2,0,3
RM415,1448,Sales,1,554,62,3,1,Sales Representative,3202,21972,Y,Yes,16,3,80,0,6,4,5,3,1,4
RM471,535,Sales,1,632,38,3,1,Sales Representative,2400,5530,Y,No,13,3,80,2,3,3,2,2,2,1
RM475,691,Research & Development,1,639,89,4,1,Research Scientist,2725,21630,Y,Yes,11,3,80,2,6,3,6,5,1,4
RM477,823,Research & Development,1,643,94,2,1,Laboratory Technician,2127,9100,Y,No,21,4,80,1,1,2,1,0,0,0
RM480,1287,Research & Development,1,647,55,3,1,Laboratory Technician,2886,14168,Y,Yes,16,3,80,1,6,4,6,3,1,2
RM526,693,Sales,1,720,65,3,2,Sales Executive,4577,24785,Y,No,14,3,80,0,4,3,2,2,2,0
RM587,1092,Research & Development,1,812,60,2,1,Laboratory Technician,2694,26551,Y,No,11,3,80,3,1,4,1,0,0,0
RM641,1269,Research & Development,1,888,46,2,1,Laboratory Technician,3162,10778,Y,No,17,3,80,0,6,2,5,2,3,4
RM725,1206,Research & Development,1,1009,41,2,2,Manufacturing Director,4377,24117,Y,No,15,3,80,2,5,6,4,2,3,2
RM842,477,Research & Development,1,1173,49,3,1,Laboratory Technician,3597,6409,Y,No,22,4,80,0,6,2,4,3,1,2
RM872,984,Research & Development,1,1219,97,3,1,Laboratory Technician,2210,3372,Y,No,13,3,80,1,1,3,1,0,0,0
RM1026,1476,Sales,1,1445,42,3,2,Sales Executive,4162,15211,Y,Yes,12,3,80,2,5,3,5,4,0,3
RM1061,381,Research & Development,1,1494,89,3,1,Laboratory Technician,3172,16998,Y,Yes,11,3,80,0,4,2,0,0,0,0
RM1062,830,Sales,1,1495,78,3,1,Sales Representative,2033,7103,Y,No,13,3,80,1,1,2,1,0,0,0
RM1098,350,Research & Development,1,1551,57,2,1,Laboratory Technician,2296,10036,Y,No,14,3,80,3,2,3,1,1,0,0
RM1169,567,Research & Development,1,1646,32,3,1,Research Scientist,3760,17218,Y,Yes,13,3,80,0,6,2,6,3,1,3
RM1218,581,Research & Development,1,1707,62,4,1,Research Scientist,4401,17616,Y,No,16,3,80,1,5,1,5,3,0,4
RM1223,240,Human Resources,1,1714,58,1,1,Human Resources,1555,11585,Y,No,11,3,80,1,1,2,1,0,0,0
RM1231,506,Research & Development,1,1725,91,3,1,Laboratory Technician,3907,3622,Y,No,13,3,80,3,6,2,6,2,1,2
RM1246,897,Human Resources,1,1746,59,3,1,Human Resources,2145,2097,Y,No,14,3,80,1,3,2,2,2,2,1
RM1408,771,Research & Development,1,1981,45,2,2,Healthcare Representative,4617,14120,Y,No,12,3,80,0,4,2,4,3,1,2
RM108,240,Sales,1,142,46,2,2,Sales Executive,5744,26959,Y,Yes,11,3,80,0,6,1,6,4,0,3
RM109,1280,Research & Development,1,143,64,2,1,Research Scientist,2889,26897,Y,No,11,3,80,2,2,2,2,2,2,1
RM139,959,Sales,1,183,41,2,2,Sales Executive,8639,24835,Y,No,18,3,80,0,6,3,2,2,2,
RM256,685,Research & Development,1,350,62,3,2,Manufacturing Director,4898,7505,Y,No,12,3,80,2,5,3,4,2,1,
RM268,675,Research & Development,1,369,85,4,2,Healthcare Representative,4000,18384,Y,No,12,3,80,2,6,2,6,3,1,5
RM398,891,Sales,1,527,99,2,2,Sales Executive,4487,12090,Y,Yes,11,3,80,0,5,3,5,4,1,3
RM406,688,Research & Development,1,538,91,3,1,Laboratory Technician,4031,9396,Y,No,13,3,80,1,6,5,2,2,0,
RM479,622,Sales,1,645,40,3,1,Sales Representative,2096,26376,Y,No,11,3,80,0,7,1,7,4,0,6
RM518,810,Sales,1,707,57,4,2,Sales Executive,4851,15678,Y,No,22,4,80,1,4,4,3,2,1,2
RM564,883,Sales,1,781,32,3,2,Sales Executive,6180,22807,Y,No,23,4,80,0,6,5,6,5,1,4
RM619,180,Research & Development,1,854,65,4,1,Research Scientist,3424,21632,Y,No,13,3,80,0,6,3,4,3,0,1
RM635,141,Sales,1,879,98,3,2,Sales Executive,4194,14363,Y,Yes,18,3,80,0,5,3,5,3,0,3
RM639,583,Sales,1,885,87,2,2,Sales Executive,4256,18154,Y,No,12,3,80,0,5,1,5,2,0,3
RM684,867,Sales,1,952,36,2,1,Sales Representative,2413,18798,Y,Yes,18,3,80,3,1,2,1,0,0,0
RM797,1219,Research & Development,1,1106,32,3,1,Laboratory Technician,3691,4605,Y,Yes,15,3,80,1,7,3,7,7,5,6
RM886,1356,Sales,1,1240,57,3,2,Sales Executive,4950,20623,Y,No,14,3,80,0,5,4,4,3,1,1
RM912,599,Sales,1,1273,73,1,1,Sales Representative,1118,8040,Y,Yes,14,3,80,0,1,4,1,0,1,0
RM935,266,Research & Development,1,1303,40,3,1,Research Scientist,2096,18830,Y,No,18,3,80,0,2,3,2,2,2,1
RM966,882,Research & Development,1,1358,67,3,1,Laboratory Technician,3669,9075,Y,No,11,3,80,3,7,6,3,2,1,2
RM994,1372,Sales,1,1399,93,4,2,Sales Executive,6232,12477,Y,No,11,3,80,0,6,3,3,2,1,2
RM1004,949,Research & Development,1,1415,81,3,1,Laboratory Technician,3229,4910,Y,No,11,3,80,1,7,2,3,2,0,2
RM1022,383,Sales,1,1439,68,2,1,Sales Representative,4400,15182,Y,No,12,3,80,0,6,2,3,2,2,2
RM1175,772,Research & Development,1,1653,77,4,2,Manufacturing Director,5206,4973,Y,No,17,3,80,2,7,6,7,7,0,7
RM1412,309,Human Resources,1,1987,82,3,1,Human Resources,2187,19655,Y,No,14,3,80,0,6,3,2,0,1,2
RM1414,977,Research & Development,1,1992,57,3,1,Laboratory Technician,3977,7298,Y,Yes,19,3,80,1,7,2,2,2,0,2
RM1434,1382,Sales,1,2018,85,3,2,Sales Executive,4907,13684,Y,Yes,22,4,80,1,6,3,5,3,0,4
RM043,1357,Research & Development,1,55,48,1,1,Laboratory Technician,2293,10558,Y,No,12,3,80,0,1,2,1,0,0,1
RM055,1443,Sales,1,72,47,2,2,Sales Executive,4157,21436,Y,Yes,19,3,80,1,5,2,2,2,0,0
RM126,841,Research & Development,1,164,46,2,1,Research Scientist,2368,23300,Y,No,19,3,80,0,5,3,5,4,4,3
RM135,1355,Human Resources,1,177,61,3,1,Human Resources,2942,8916,Y,No,23,4,80,1,8,3,8,7,5,7
RM279,1479,Research & Development,1,384,84,3,2,Manufacturing Director,6397,26767,Y,No,20,4,80,1,6,6,6,5,1,4
RM285,496,Research & Development,1,390,60,3,2,Healthcare Representative,4741,22722,Y,Yes,13,3,80,1,5,3,5,3,3,3
RM289,1449,Research & Development,1,394,45,3,1,Laboratory Technician,2373,14180,Y,Yes,13,3,80,1,5,2,3,2,0,2
RM294,950,Sales,1,401,48,2,2,Sales Executive,5828,8450,Y,Yes,12,3,80,0,8,0,8,7,7,4
RM356,933,Sales,1,476,57,3,2,Sales Executive,5296,20156,Y,No,17,3,80,1,8,3,8,7,7,7
RM383,575,Research & Development,1,510,73,3,1,Research Scientist,3102,6582,Y,No,22,4,80,0,7,2,6,4,0,4
RM419,1349,Research & Development,1,560,90,3,1,Research Scientist,2886,3032,Y,No,22,4,80,2,3,3,3,2,0,2
RM454,426,Human Resources,1,608,58,3,1,Human Resources,2741,22808,Y,Yes,11,3,80,1,8,2,7,7,1,0
RM461,775,Sales,1,618,45,3,2,Sales Executive,4306,4267,Y,No,12,3,80,2,8,5,0,0,0,0
RM464,471,Research & Development,1,622,66,1,1,Laboratory Technician,2340,23213,Y,Yes,18,3,80,0,1,3,1,0,0,0
RM476,703,Sales,1,641,66,3,2,Sales Executive,6272,7428,Y,No,20,4,80,2,6,5,5,3,1,4
RM506,991,Research & Development,1,686,71,3,1,Laboratory Technician,2659,17759,Y,Yes,13,3,80,1,3,2,3,2,0,2
RM572,575,Research & Development,1,792,71,1,1,Laboratory Technician,4364,5288,Y,No,14,3,80,1,5,2,2,2,2,0
RM574,1146,Sales,1,796,38,2,2,Sales Executive,5326,3064,Y,No,17,3,80,0,6,2,4,3,1,2
RM615,887,Research & Development,1,848,88,2,1,Research Scientist,2366,20898,Y,Yes,14,3,80,1,8,2,8,7,1,7
RM686,1283,Sales,1,956,52,2,2,Sales Executive,4294,11148,Y,No,12,3,80,0,7,2,7,7,0,7
RM734,1066,Research & Development,1,1018,32,4,2,Manufacturing Director,5472,3334,Y,No,12,3,80,0,8,2,8,7,1,3
RM749,265,Sales,1,1037,79,1,2,Sales Executive,4969,21813,Y,No,18,3,80,0,7,6,2,2,2,2
RM763,342,Research & Development,1,1053,57,3,1,Research Scientist,2042,15346,Y,Yes,14,3,80,1,6,2,3,2,1,2
RM770,921,Research & Development,1,1068,66,2,1,Research Scientist,2007,25265,Y,No,13,3,80,2,5,5,5,3,1,3
RM782,192,Research & Development,1,1083,59,2,1,Laboratory Technician,3955,11141,Y,No,16,3,80,2,6,2,5,3,1,3
RM798,1330,Research & Development,1,1107,37,3,1,Laboratory Technician,2377,19373,Y,No,20,4,80,1,1,0,1,1,0,0
RM844,1384,Research & Development,1,1177,82,4,1,Laboratory Technician,4420,13421,Y,No,22,4,80,1,8,2,8,7,0,7
RM913,583,Research & Development,1,1275,53,3,1,Research Scientist,2875,9973,Y,Yes,20,4,80,0,8,2,8,5,2,2
RM999,683,Research & Development,1,1407,36,2,1,Research Scientist,3904,4050,Y,No,12,3,80,0,5,2,4,3,1,1
RM1005,652,Research & Development,1,1417,100,4,1,Laboratory Technician,3578,23577,Y,No,12,3,80,0,8,2,7,7,0,7
RM1119,474,Research & Development,1,1581,89,3,1,Research Scientist,2061,11133,Y,No,21,4,80,0,1,5,1,0,0,0
RM1207,786,Research & Development,1,1693,76,3,1,Laboratory Technician,2570,11925,Y,No,20,4,80,0,7,5,7,7,5,7
RM1225,390,Research & Development,1,1718,62,1,1,Laboratory Technician,2305,6217,Y,No,15,3,80,3,3,3,3,2,0,2
RM1298,920,Human Resources,1,1818,69,3,1,Human Resources,2148,6889,Y,Yes,11,3,80,0,6,3,5,1,1,4
RM1310,572,Sales,1,1836,46,3,2,Sales Executive,4684,9125,Y,No,13,3,80,0,5,4,5,3,1,2
RM1350,482,Research & Development,1,1893,90,2,1,Research Scientist,2933,14908,Y,Yes,13,3,80,1,1,3,1,0,1,0
RM1362,1096,Research & Development,1,1918,61,4,1,Laboratory Technician,2544,7102,Y,No,18,3,80,1,8,3,7,7,7,7
RM1387,157,Research & Development,1,1952,95,3,1,Laboratory Technician,2867,20006,Y,No,13,3,80,0,8,6,7,7,7,6
RM1465,1167,Sales,1,2060,30,2,1,Sales Representative,2966,21378,Y,No,18,3,80,0,5,2,4,2,0,0
RM1465,1167,Sales,1,2060,30,2,1,Sales Representative,2966,21378,Y,No,18,3,80,0,5,2,4,2,0,5
RM005,591,Research & Development,1,7,40,3,1,Laboratory Technician,3468,16632,Y,No,12,3,80,1,6,3,2,2,2,2
RM042,1240,Research & Development,1,54,33,3,1,Laboratory Technician,2341,19715,Y,No,13,3,80,1,1,6,1,0,0,0
RM044,994,Sales,1,56,37,3,3,Sales Executive,8726,2975,Y,No,15,3,80,0,9,0,9,8,1,7
RM162,691,Research & Development,1,218,57,3,1,Research Scientist,2024,5970,Y,No,18,3,80,1,6,1,2,2,2,2
RM165,1450,Research & Development,1,224,79,2,1,Research Scientist,2566,25326,Y,Yes,15,3,80,1,1,2,1,1,0,1
RM171,1157,Research & Development,1,233,51,3,1,Research Scientist,3058,13364,Y,Yes,16,3,80,1,6,3,5,2,1,1
RM192,894,Research & Development,1,260,99,3,1,Research Scientist,2279,11781,Y,No,16,3,80,0,7,2,7,7,0,3
RM201,472,Research & Development,1,274,60,2,2,Manufacturing Director,4298,9679,Y,No,19,3,80,1,6,1,2,2,2,0
RM213,1242,Sales,1,293,90,3,2,Sales Executive,9981,12916,Y,No,14,3,80,0,7,2,7,7,0,7
RM319,1220,Research & Development,1,434,85,3,1,Research Scientist,2478,20938,Y,Yes,12,3,80,0,4,2,4,3,1,2
RM321,1377,Sales,1,437,74,3,2,Sales Executive,4478,5242,Y,Yes,11,3,80,0,5,3,5,4,0,4
RM332,210,Sales,1,449,73,3,2,Sales Executive,6349,22107,Y,Yes,13,3,80,1,6,0,5,4,1,4
RM340,1130,Sales,1,458,56,3,2,Sales Executive,6214,3415,Y,No,18,3,80,1,8,3,8,7,0,7
RM374,1469,Research & Development,1,497,82,3,1,Laboratory Technician,3816,17881,Y,No,11,3,80,1,5,2,5,2,0,4
RM486,798,Research & Development,1,655,66,2,1,Research Scientist,2187,5013,Y,No,12,3,80,2,6,5,5,3,0,3
RM496,1420,Sales,1,667,85,3,1,Sales Representative,3041,16346,Y,No,11,3,80,1,5,3,4,3,0,2
RM513,1115,Research & Development,1,700,54,2,1,Research Scientist,2045,15174,Y,No,13,3,80,0,5,0,4,2,1,1
RM522,1410,Sales,1,714,71,4,2,Sales Executive,4647,16673,Y,Yes,20,4,80,2,6,3,6,5,0,4
RM531,608,Research & Development,1,725,68,3,3,Manufacturing Director,7412,6009,Y,No,11,3,80,0,9,3,9,7,0,7
RM538,294,Research & Development,1,733,32,3,3,Manufacturing Director,8793,4809,Y,No,21,4,80,2,9,4,9,7,1,7
RM555,975,Research & Development,1,764,55,2,2,Healthcare Representative,6811,23398,Y,No,19,3,80,0,9,2,7,6,0,7
RM577,829,Sales,1,800,84,3,2,Sales Executive,4342,24008,Y,No,19,3,80,1,5,3,4,2,1,1
RM611,269,Research & Development,1,844,42,2,3,Research Director,12808,8842,Y,Yes,16,3,80,1,9,3,9,8,0,8
RM616,443,Research & Development,1,850,50,3,1,Research Scientist,1706,16571,Y,No,11,3,80,3,0,6,0,0,0,0
RM671,618,Research & Development,1,933,76,3,1,Research Scientist,2318,17808,Y,No,19,3,80,0,1,2,1,1,0,0
RM718,1134,Research & Development,1,1001,37,3,1,Laboratory Technician,2811,12086,Y,No,14,3,80,1,4,2,2,2,2,2
RM740,1055,Research & Development,1,1027,47,3,2,Manufacturing Director,4227,4658,Y,No,18,3,80,1,4,2,3,2,2,2
RM787,1277,Research & Development,1,1094,87,1,1,Laboratory Technician,4621,5869,Y,No,19,3,80,3,3,4,3,2,1,2
RM834,199,Research & Development,1,1162,55,2,1,Research Scientist,2539,7950,Y,No,13,3,80,1,4,0,4,2,2,2
RM890,1103,Research & Development,1,1244,42,3,1,Research Scientist,2235,14377,Y,Yes,14,3,80,2,9,3,9,7,6,8
RM903,1167,Research & Development,1,1259,76,3,1,Research Scientist,2517,3208,Y,No,11,3,80,3,5,2,5,3,0,3
RM971,1291,Sales,1,1364,98,4,1,Sales Representative,2534,6527,Y,No,14,3,80,1,5,4,1,0,0,0
RM975,793,Sales,1,1371,43,1,2,Sales Executive,5071,20392,Y,No,20,4,80,0,8,3,6,2,0,0
RM997,205,Sales,1,1403,98,2,2,Sales Executive,5769,7100,Y,Yes,11,3,80,0,6,3,6,2,4,4
RM998,135,Research & Development,1,1405,51,3,1,Research Scientist,2394,25681,Y,Yes,13,3,80,0,8,2,8,2,7,7
RM1018,1377,Research & Development,1,1434,91,3,1,Laboratory Technician,2099,7679,Y,No,14,3,80,0,6,3,5,0,1,4
RM1150,1302,Research & Development,1,1619,67,2,1,Laboratory Technician,4066,16290,Y,No,11,3,80,2,7,3,7,7,0,7
RM1170,486,Research & Development,1,1647,86,4,1,Research Scientist,3517,22490,Y,No,17,3,80,0,5,0,3,2,0,2
RM1171,591,Research & Development,1,1648,87,3,1,Research Scientist,2580,6297,Y,No,13,3,80,0,6,0,4,2,1,2
RM1249,1054,Research & Development,1,1751,67,3,1,Research Scientist,3445,6152,Y,No,11,3,80,0,6,5,6,2,1,4
RM1318,1297,Research & Development,1,1850,53,3,1,Laboratory Technician,2379,19826,Y,Yes,14,3,80,0,6,3,5,4,0,2
RM1329,728,Sales,1,1864,36,2,2,Sales Representative,3540,7018,Y,No,21,4,80,1,9,5,9,8,5,8
RM1335,1131,Research & Development,1,1870,77,2,1,Research Scientist,4774,23844,Y,No,19,3,80,1,8,2,7,6,7,3
RM1351,511,Sales,1,1898,89,4,2,Sales Executive,6500,26997,Y,No,14,3,80,0,9,5,8,7,0,7
RM1368,1354,Research & Development,1,1931,41,3,1,Research Scientist,2226,6073,Y,No,11,3,80,1,6,3,5,3,1,2
RM1380,1337,Human Resources,1,1944,58,2,1,Human Resources,2863,19555,Y,No,12,3,80,0,1,2,1,0,0,0
RM1394,954,Sales,1,1965,44,3,2,Sales Executive,4105,5099,Y,No,14,3,80,0,7,5,7,7,0,7
RM1468,155,Research & Development,1,2064,87,4,2,Manufacturing Director,6142,5174,Y,Yes,20,4,80,1,6,0,6,2,0,3
RM1468,155,Research & Development,1,2064,87,4,2,Manufacturing Director,6142,5174,Y,Yes,20,4,80,1,6,0,6,2,0,3
RM015,103,Research & Development,1,19,50,2,1,Laboratory Technician,2028,12947,Y,Yes,14,3,80,0,6,4,4,2,0,3
RM052,1434,Research & Development,1,65,50,3,1,Laboratory Technician,3441,11179,Y,Yes,13,3,80,0,2,3,2,2,2,2
RM098,120,Sales,1,129,43,3,2,Sales Executive,4221,8863,Y,No,15,3,80,0,5,3,5,4,0,4
RM163,440,Research & Development,1,221,42,3,1,Research Scientist,2713,6672,Y,No,11,3,80,1,5,2,5,2,0,2
RM265,529,Research & Development,1,364,79,3,1,Laboratory Technician,3485,14935,Y,No,11,3,80,0,5,5,0,0,0,0
RM273,1158,Research & Development,1,377,94,3,1,Research Scientist,2070,2613,Y,No,23,4,80,1,5,3,5,2,0,4
RM290,1117,Research & Development,1,395,66,3,1,Research Scientist,3310,4488,Y,No,21,4,80,0,5,3,5,3,0,2
RM303,1476,Research & Development,1,412,68,4,2,Healthcare Representative,5661,4824,Y,No,19,3,80,0,9,2,8,3,0,7
